fit-54.3	america		exist-47.1-1	Synset('fear.n.01')
appear-48.1.1	Synset('income.n.01')		Synset('value.n.02')	Synset('scale.n.01')
bring-11.3	Synset('advantage.n.01')		Synset('framework.n.03')	nonvehicle-51.4.2
Synset('operation.n.05')	israel		appear-48.1.1	lebanon
Synset('noise.n.01')	Synset('heavier-than-air_craft.n.01')		Synset('collection.n.01')	Synset('gas.n.02')
escape-51.1-2	Synset('residence.n.01')		escape-51.1-2	Synset('being.n.01')
cheat-10.6-1	Synset('negative_stimulus.n.01')		appear-48.1.1	Synset('framework.n.03')
begin-55.1-1	Synset('discussion.n.02')		Synset('person.n.01')	Synset('happening.n.01')
calibratable_cos-45.6-1	Synset('scale.n.01')		Synset('idea.n.01')	Synset('commerce.n.01')
appear-48.1.1	Synset('agent.n.03')		Synset('emergence.n.01')	Synset('aggression.n.03')
contribute-13.2-1	dow		calibratable_cos-45.6-1	Synset('framework.n.03')
Synset('tax.n.01')	Synset('curiosity.n.01')		dow	Synset('time_unit.n.01')
amuse-31.1	Synset('educator.n.01')		characterize-29.2-1	Synset('development.n.01')
Synset('activity.n.01')	Synset('leader.n.01')		appear-48.1.1	Synset('danger.n.03')
Synset('person.n.01')	accompany-51.7		calibratable_cos-45.6-1	Synset('motor_vehicle.n.01')
Synset('force.n.04')	ferret-35.6		Synset('happening.n.01')	murder-42.1-1
calibratable_cos-45.6-1	Synset('commodity.n.01')		calibratable_cos-45.6-1	Synset('insufficiency.n.03')
Synset('activity.n.01')	Synset('order.n.03')		murder-42.1-1	Synset('murderer.n.01')
appear-48.1.1	Synset('curiosity.n.01')		calibratable_cos-45.6-1	dow
cheat-10.6-1	Synset('negative_stimulus.n.01')		Synset('medium_of_exchange.n.01')	Synset('production.n.07')
Synset('anticipation.n.01')	Synset('magnitude_relation.n.01')		calibratable_cos-45.6-1	Synset('component.n.01')
Synset('activity.n.01')	Synset('collection.n.01')		dow	Synset('time_unit.n.01')
Synset('activity.n.01')	ferret-35.6		Synset('value.n.02')	Synset('attraction.n.01')
bump-18.4	Synset('tract.n.01')		Synset('adult.n.01')	disappearance-48.2
build-26.1-1	Synset('woody_plant.n.01')		characterize-29.2	gore
calibratable_cos-45.6-1	Synset('gathering.n.01')		contribute-13.2-1	knicks
begin-55.1-1	Synset('class.n.03')		Synset('person.n.01')	Synset('organization.n.01')
Synset('motor_vehicle.n.01')	Synset('substance.n.07')		murder-42.1-1	lebanon
Synset('collection.n.01')	await		amuse-31.1	Synset('value.n.02')
other_cos-45.4	Synset('anticipation.n.01')		calibratable_cos-45.6-1	Synset('component.n.01')
appear-48.1.1	Synset('military_action.n.01')		Synset('lipid.n.01')	Synset('slope.n.01')
calibratable_cos-45.6-1	Synset('tax.n.01')		Synset('attraction.n.01')	Synset('rubbish.n.01')
escape-51.1-1	Synset('leader.n.01')		Synset('discussion.n.02')	Synset('legal_document.n.01')
Synset('emotion.n.01')	Synset('indefinite_quantity.n.01')		Synset('value.n.02')	Synset('lipid.n.01')
Synset('activity.n.01')	Synset('capital.n.01')		stop-55.4-1	Synset('gathering.n.01')
contribute-13.2-1	Synset('indo-european.n.02')		begin-55.1-1	Synset('computer_network.n.01')
cheat-10.6-1	Synset('economic_process.n.01')		Synset('medium_of_exchange.n.01')	Synset('production.n.07')
force-59	Synset('vote.n.02')		amuse-31.1	Synset('organization.n.01')
begin-55.1-1	Synset('discussion.n.02')		characterize-29.2-1	Synset('happening.n.01')
Synset('person.n.01')	Synset('season.n.02')		bring-11.3	Synset('ending.n.04')
Synset('military_action.n.01')	Synset('power.n.01')		Synset('military_action.n.01')	Synset('formation.n.01')
Synset('activity.n.01')	Synset('municipality.n.01')		Synset('share.n.01')	Synset('levy.n.01')
other_cos-45.4	Synset('anticipation.n.01')		amuse-31.1	indicate-78-1
convert-26.6.2	Synset('concentration.n.05')		appear-48.1.1	continue-55.3
Synset('discussion.n.02')	Synset('legislature.n.01')		get-13.5.1	Synset('race.n.01')
near	Synset('cyclone.n.02')		ferret-35.6	Synset('condition.n.01')
Synset('person.n.01')	Synset('force.n.04')		Synset('person.n.01')	murder-42.1
Synset('value.n.02')	Synset('lipid.n.01')		appear-48.1.1	Synset('framework.n.03')
bring-11.3	Synset('grasping.n.02')		Synset('extremity.n.04')	Synset('formation.n.01')
bump-18.4	Synset('motor_vehicle.n.01')		murder-42.1-1	lebanon
other_cos-45.4	knicks		get-13.5.1	Synset('start.n.01')
bring-11.3	Synset('income.n.01')		calibratable_cos-45.6-1	Synset('value.n.02')
Synset('collection.n.01')	await		dow	Synset('time_unit.n.01')
calibratable_cos-45.6-1	Synset('longing.n.01')		calibratable_cos-45.6-1	Synset('monetary_unit.n.01')
calibratable_cos-45.6-1	Synset('value.n.02')		appear-48.1.1	dow
near	Synset('extremity.n.04')		Synset('value.n.02')	Synset('bean.n.02')
appear-48.1.1	Synset('disorder.n.01')		begin-55.1-1	Synset('propulsion.n.02')
convert-26.6.2	Synset('concentration.n.05')		continue-55.3	Synset('lipid.n.01')
exist-47.1-1	Synset('extent.n.02')		Synset('activity.n.01')	begin-55.1-1
Synset('value.n.02')	Synset('lipid.n.01')		dow	Synset('component.n.01')
calibratable_cos-45.6-1	dow		braid-41.2.2	Synset('rate.n.01')
Synset('power.n.01')	Synset('weapon.n.01')		Synset('military_action.n.01')	Synset('formation.n.01')
Synset('capitalist.n.02')	Synset('agent.n.05')		Synset('value.n.02')	Synset('funds.n.01')
calibratable_cos-45.6-1	Synset('precious_metal.n.01')		crane-40.3.2	correspond-36.1
Synset('federal_government.n.01')	Synset('container.n.01')		bring-11.3	Synset('duty.n.02')
appear-48.1.1	Synset('value.n.02')		other_cos-45.4	Synset('message.n.02')
Synset('merchant.n.01')	Synset('magnitude_relation.n.01')		calibratable_cos-45.6-1	Synset('framework.n.03')
appear-48.1.1	iraq		appear-48.1.1	Synset('value.n.02')
Synset('value.n.02')	Synset('lipid.n.01')		Synset('capital.n.01')	Synset('scale.n.01')
Synset('military_action.n.01')	Synset('body_of_water.n.01')		Synset('lipid.n.01')	Synset('tube.n.01')
convert-26.6.2	Synset('military_action.n.01')		Synset('structure.n.01')	declare-29.4-1-1-2
appear-48.1.1	Synset('stream.n.01')		escape-51.1-1	Synset('large_integer.n.01')
Synset('collection.n.01')	await		crane-40.3.2	Synset('monetary_unit.n.01')
exist-47.1-1	Synset('evaluation.n.02')		Synset('monetary_unit.n.01')	Synset('time_unit.n.01')
appear-48.1.1	Synset('discussion.n.02')		characterize-29.2-1-2	Synset('development.n.01')
appear-48.1.1	Synset('contestant.n.01')		Synset('disorder.n.03')	reign
ferret-35.6	Synset('shelter.n.01')		Synset('indefinite_quantity.n.01')	Synset('funds.n.01')
Synset('happening.n.01')	Synset('unit.n.03')		Synset('municipality.n.01')	peer-30.3
Synset('person.n.01')	ferret-35.6		Synset('educational_institution.n.01')	bronx
bring-11.3	Synset('merchant.n.01')		Synset('attraction.n.01')	send-11.1-1
Synset('discussion.n.02')	linger-53.1-1		Synset('person.n.01')	Synset('asian.n.01')
appear-48.1.1	Synset('curiosity.n.01')		convert-26.6.2	Synset('capitalist.n.02')
force-59	Synset('vote.n.02')		amuse-31.1	Synset('promotion.n.01')
calibratable_cos-45.6-1	Synset('commodity.n.01')		Synset('commerce.n.01')	flinch-40.5
Synset('fund.n.01')	Synset('merchant.n.01')		Synset('monetary_unit.n.01')	Synset('emergence.n.01')
near	Synset('extremity.n.04')		build-26.1-1	Synset('being.n.01')
Synset('property.n.02')	conjecture-29.5-2		Synset('value.n.02')	contiguous_location-47.8
Synset('activity.n.01')	ferret-35.6		Synset('income.n.01')	Synset('indefinite_quantity.n.01')
cheat-10.6-1	Synset('negative_stimulus.n.01')		Synset('assets.n.01')	Synset('medium_of_exchange.n.01')
Synset('indefinite_quantity.n.01')	wish-62		calibratable_cos-45.6-1	Synset('tax.n.01')
indicate-78-1	Synset('skilled_worker.n.01')		convert-26.6.2	Synset('being.n.01')
other_cos-45.4	Synset('property.n.02')		characterize-29.2-1	Synset('person.n.01')
Synset('attraction.n.01')	send-11.1-1		Synset('activity.n.01')	stop-55.4-1
Synset('attraction.n.01')	send-11.1-1		Synset('activity.n.01')	Synset('gathering.n.01')
Synset('framework.n.03')	rebound		Synset('monetary_unit.n.01')	Synset('longing.n.01')
amuse-31.1	Synset('tax.n.01')		appear-48.1.1	Synset('monetary_unit.n.01')
stop-55.4-1	Synset('emotion.n.01')		calibratable_cos-45.6-1	Synset('beverage.n.01')
Synset('anticipation.n.01')	Synset('share.n.01')		calibratable_cos-45.6-1	Synset('framework.n.03')
get-13.5.1	Synset('adult.n.01')		other_cos-45.4	Synset('belief.n.01')
Synset('discussion.n.02')	Synset('point.n.06')		Synset('fund.n.01')	Synset('statement.n.01')
appear-48.1.1	Synset('change.n.01')		calibratable_cos-45.6-1	Synset('funds.n.01')
calibratable_cos-45.6-1	Synset('list.n.01')		calibratable_cos-45.6-1	Synset('income.n.01')
calibratable_cos-45.6-1	Synset('cereal.n.01')		appear-48.1.1	Synset('cereal.n.01')
calibratable_cos-45.6-1	Synset('value.n.02')		Synset('framework.n.03')	withdraw-82-3
Synset('discussion.n.02')	Synset('legislature.n.01')		Synset('legal_document.n.01')	Synset('building.n.01')
ferret-35.6	Synset('capitalist.n.02')		Synset('indefinite_quantity.n.01')	Synset('funds.n.01')
Synset('emotion.n.01')	Synset('indefinite_quantity.n.01')		Synset('value.n.02')	Synset('capital.n.01')
Synset('military_action.n.01')	chechnya		Synset('emergence.n.01')	Synset('fee.n.01')
Synset('activity.n.01')	carry-11.4-1-1		Synset('discussion.n.02')	Synset('fund.n.01')
appear-48.1.1	Synset('insufficiency.n.03')		fill-9.8	clinton
calibratable_cos-45.6-1	Synset('list.n.01')		Synset('value.n.02')	Synset('physical_phenomenon.n.01')
bump-18.4	new_york		Synset('atmospheric_phenomenon.n.01')	hit-18.1-1
exist-47.1-1	Synset('residence.n.01')		other_cos-45.4	Synset('system.n.02')
exist-47.1-1	Synset('questioning.n.01')		admire-31.2	Synset('defender.n.01')
Synset('document.n.01')	Synset('merchant.n.01')		stop-55.4-1	Synset('time_unit.n.01')
near	Synset('shore.n.01')		ferret-35.6	Synset('condition.n.01')
bring-11.3	Synset('leader.n.01')		other_cos-45.4	Synset('formation.n.01')
appear-48.1.1	Synset('happening.n.01')		judgement-33	Synset('professional.n.01')
contiguous_location-47.8-1	preparing-26.3-1		exist-47.1-1	japan
Synset('force.n.04')	Synset('objection.n.02')		appear-48.1.1	Synset('noise.n.01')
calibratable_cos-45.6-1	Synset('bean.n.02')		Synset('value.n.02')	keep-15.2
cheat-10.6-1	Synset('agent.n.05')		calibratable_cos-45.6-1	Synset('monetary_unit.n.01')
near	Synset('race.n.01')		bring-11.3	Synset('area.n.01')
convert-26.6.2	Synset('capitalist.n.02')		Synset('assets.n.01')	Synset('application.n.01')
exist-47.1-1	Synset('atmospheric_phenomenon.n.01')		Synset('value.n.02')	Synset('temperature_change.n.01')
calibratable_cos-45.6-1	Synset('cereal.n.01')		Synset('value.n.02')	keep-15.2
Synset('happening.n.01')	Synset('mistreatment.n.01')		judgement-33	Synset('professional.n.01')
appear-48.1.1	Synset('geological_phenomenon.n.01')		Synset('change.n.01')	Synset('emergence.n.01')
Synset('emotion.n.01')	Synset('indefinite_quantity.n.01')		calibratable_cos-45.6-1	Synset('capital.n.01')
calibratable_cos-45.6-1	Synset('income.n.01')		Synset('framework.n.03')	Synset('application.n.01')
calibratable_cos-45.6-1	Synset('precious_metal.n.01')		calibratable_cos-45.6-1	Synset('monetary_unit.n.01')
other_cos-45.4	Synset('property.n.02')		Synset('duty.n.02')	Synset('body_of_water.n.01')
appear-48.1.1	Synset('emotion.n.01')		Synset('monetary_unit.n.01')	Synset('indefinite_quantity.n.01')
near	Synset('choice.n.02')		fill-9.8	Synset('vote.n.02')
cheat-10.6-1	Synset('agent.n.05')		calibratable_cos-45.6-1	Synset('framework.n.03')
exist-47.1-1	Synset('municipality.n.01')		judgement-33	Synset('murderer.n.01')
Synset('discussion.n.02')	continue-55.3		Synset('educational_institution.n.01')	meander-47.7
other_cos-45.4	Synset('anticipation.n.01')		calibratable_cos-45.6-1	Synset('reply.n.02')
preparing-26.3-1	dub-29.3		Synset('person.n.01')	peer-30.3
calibratable_cos-45.6-1	Synset('activity.n.01')		other_cos-45.4	Synset('representation.n.02')
Synset('person.n.01')	ferret-35.6		Synset('person.n.01')	admire-31.2
calibratable_cos-45.6-1	Synset('capital.n.01')		Synset('idea.n.01')	Synset('commerce.n.01')
Synset('motor_vehicle.n.01')	Synset('substance.n.07')		Synset('happening.n.01')	murder-42.1-1
Synset('gathering.n.01')	modes_of_being_with_motion-47.3		build-26.1-1	Synset('indefinite_quantity.n.01')
calibratable_cos-45.6-1	Synset('monetary_unit.n.01')		calibratable_cos-45.6-1	Synset('production.n.07')
calibratable_cos-45.6-1	Synset('value.n.02')		appear-48.1.1	Synset('component.n.01')
amuse-31.1	Synset('customer.n.01')		stop-55.4-1	Synset('gathering.n.01')
appear-48.1.1	Synset('substance.n.07')		Synset('gas.n.02')	Synset('agenda.n.01')
put-9.1	Synset('physical_phenomenon.n.01')		Synset('serviceman.n.01')	withdraw-82-3
Synset('activity.n.01')	bill-54.5		Synset('payment.n.02')	Synset('user.n.01')
exist-47.1-1	Synset('atmospheric_phenomenon.n.01')		Synset('value.n.02')	Synset('lipid.n.01')
Synset('framework.n.03')	rebound		dow	obtain-13.5.2
begin-55.1-1	Synset('attempt.n.01')		bring-11.3	Synset('support.n.10')
conjecture-29.5-1	Synset('gathering.n.01')		Synset('time_period.n.01')	Synset('attempt.n.01')
amuse-31.1	Synset('request.n.01')		appear-48.1.1	Synset('small_indefinite_quantity.n.01')
Synset('share.n.01')	Synset('magnitude_relation.n.01')		Synset('framework.n.03')	Synset('object.n.01')
appear-48.1.1	Synset('objection.n.02')		build-26.1-1	Synset('woody_plant.n.01')
await	Synset('merchant.n.01')		calibratable_cos-45.6-1	Synset('framework.n.03')
Synset('collection.n.01')	conjecture-29.5-2		Synset('value.n.02')	Synset('funds.n.01')
calibratable_cos-45.6-1	dow		Synset('share.n.01')	Synset('magnitude_relation.n.01')
ferret-35.6	Synset('capitalist.n.02')		calibratable_cos-45.6-1	Synset('funds.n.01')
Synset('activity.n.01')	Synset('capitalist.n.02')		calibratable_cos-45.6-1	Synset('value.n.02')
near	Synset('race.n.01')		Synset('municipality.n.01')	have
Synset('public_transport.n.01')	correspond-36.1		murder-42.1-1	hurt-40.8.3-2
Synset('transgression.n.01')	Synset('partiality.n.02')		peer-30.3	Synset('administrative_district.n.01')
amuse-31.1	Synset('income.n.01')		calibratable_cos-45.6-1	Synset('framework.n.03')
other_cos-45.4	Synset('commercial_enterprise.n.01')		Synset('value.n.02')	pay-68
Synset('military_action.n.01')	entity_specific_modes_being-47.2		exist-47.1-1	Synset('legal_document.n.01')
appear-48.1.1	Synset('transaction.n.01')		other_cos-45.4	Synset('belief.n.01')
Synset('collection.n.01')	conjecture-29.5-2		calibratable_cos-45.6-1	Synset('funds.n.01')
await	Synset('merchant.n.01')		other_cos-45.4	Synset('monetary_unit.n.01')
Synset('collection.n.01')	await		Synset('monetary_unit.n.01')	Synset('emergence.n.01')
crane-40.3.2	correspond-36.1		calibratable_cos-45.6-1	Synset('longing.n.01')
Synset('federal_government.n.01')	lag		conjecture-29.5-1	Synset('symptom.n.01')
appear-48.1.1	Synset('value.n.02')		judgement-33	Synset('politician.n.02')
other_cos-45.4	Synset('strain.n.04')		calibratable_cos-45.6-1	Synset('conductor.n.02')
appear-48.1.1	Synset('strain.n.04')		Synset('force.n.04')	Synset('violence.n.01')
Synset('activity.n.01')	Synset('capitalist.n.02')		calibratable_cos-45.6-1	Synset('funds.n.01')
appear-48.1.1	Synset('emotion.n.01')		Synset('value.n.02')	Synset('capital.n.01')
Synset('emotion.n.01')	ebb		Synset('value.n.02')	Synset('funds.n.01')
Synset('document.n.01')	Synset('merchant.n.01')		stop-55.4-1	Synset('plate_glass.n.01')
calibratable_cos-45.6-1	Synset('commerce.n.01')		calibratable_cos-45.6-1	Synset('component.n.01')
appear-48.1.1	dow		Synset('framework.n.03')	contiguous_location-47.8
confine-92-1	Synset('communication.n.02')		other_cos-45.4	Synset('framework.n.03')
exist-47.1-1	Synset('emotion.n.01')		continue-55.3	Synset('plate_glass.n.01')
Synset('federal_government.n.01')	iraq		Synset('legal_document.n.01')	Synset('building.n.01')
appear-48.1.1	Synset('happening.n.01')		hong	kong
do	Synset('tax.n.01')		bring-11.3	Synset('danger.n.03')
appear-48.1.1	Synset('value.n.02')		characterize-29.2-1	Synset('politician.n.02')
crane-40.3.2	Synset('agent.n.05')		Synset('attraction.n.01')	Synset('sphere.n.05')
Synset('corporate_executive.n.01')	masquerade-29.6-1		get-13.5.1	Synset('body.n.02')
ferret-35.6	Synset('capitalist.n.02')		Synset('value.n.02')	Synset('conductor.n.02')
begin-55.1-1	Synset('component.n.01')		Synset('idea.n.01')	Synset('payment.n.02')
Synset('discussion.n.02')	Synset('peace.n.01')		Synset('person.n.01')	murder-42.1-1
braid-41.2.2	Synset('rate.n.01')		Synset('value.n.02')	Synset('gathering.n.01')
focus-87	Synset('evaluation.n.02')		Synset('monetary_unit.n.01')	Synset('decrease.n.02')
escape-51.1-1	Synset('residence.n.01')		murder-42.1-1	Synset('noise.n.01')
force-59	Synset('slav.n.01')		Synset('idea.n.01')	Synset('order.n.03')
do	Synset('tax.n.01')		bring-11.3	Synset('capitalist.n.02')
Synset('activity.n.01')	Synset('parent.n.01')		disappearance-48.2	Synset('juvenile.n.01')
calibratable_cos-45.6-1	Synset('tax.n.01')		calibratable_cos-45.6-1	Synset('monetary_unit.n.01')
Synset('educational_institution.n.01')	Synset('document.n.01')		fill-9.8	Synset('experiment.n.02')
Synset('indefinite_quantity.n.01')	Synset('request.n.01')		calibratable_cos-45.6-1	Synset('cereal.n.01')
Synset('document.n.01')	await		stop-55.4-1	Synset('plate_glass.n.01')
battle-36.4-1	Synset('clique.n.01')		murder-42.1-1	Synset('large_indefinite_quantity.n.01')
Synset('leader.n.01')	complete-55.2		calibratable_cos-45.6-1	Synset('activity.n.01')
amuse-31.1	Synset('document.n.01')		calibratable_cos-45.6-1	dow
Synset('activity.n.01')	get-13.5.1		murder-42.1-1	Synset('asian.n.01')
focus-87	Synset('evaluation.n.02')		crane-40.3.2	correspond-36.1
Synset('precious_metal.n.01')	send-11.1		stop-55.4-1	Synset('monetary_unit.n.01')
Synset('share.n.01')	Synset('magnitude_relation.n.01')		contribute-13.2-1	Synset('object.n.01')
exist-47.1-1	Synset('situation.n.03')		exist-47.1-1	Synset('tract.n.01')
bring-11.3	Synset('legal_document.n.01')		Synset('woody_plant.n.01')	Synset('politician.n.02')
Synset('agent.n.05')	Synset('magnitude_relation.n.01')		Synset('value.n.02')	Synset('sphere.n.05')
crane-40.3.2	correspond-36.1		calibratable_cos-45.6-1	Synset('monetary_unit.n.01')
other_cos-45.4	Synset('contest.n.01')		other_cos-45.4	Synset('activity.n.01')
Synset('activity.n.01')	neglect-75-1-1		disappearance-48.2	Synset('juvenile.n.01')
Synset('discussion.n.02')	Synset('organization.n.01')		Synset('educational_institution.n.01')	Synset('public_transport.n.01')
Synset('asian.n.01')	gaza		murder-42.1-1	Synset('murderer.n.01')
other_cos-45.4	Synset('indefinite_quantity.n.01')		Synset('value.n.02')	Synset('conductor.n.02')
other_cos-45.4	Synset('share.n.01')		Synset('framework.n.03')	Synset('object.n.01')
other_cos-45.4	Synset('fund.n.01')		Synset('monetary_unit.n.01')	Synset('evaluation.n.02')
